productId,name,descShort,descLong,visible,stock,price,categories,image,featuredProduct
1,Classic Nick,This is a simple product.,Take a chance with Nick Chance!,1,1,5999,Collectables,https://cpswoo.com/wp-content/uploads/2021/08/classic-nick.png,1
2,Picolas Cage,"Now in pickle form, extra bumps",Take a chance with Nick Chance!,1,1,6999,Collectables,https://cpswoo.com/wp-content/uploads/2021/08/picolas-cage.png,1
3,Nick Chance,"Now in pickle form, extra bumps",Take a chance with Nick Chance!,1,1,7999,Collectables,https://cpswoo.com/wp-content/uploads/2021/08/nick-chance.jpg,1
4,Nick Sun,Boost Clock Speed: 1.71 GHz GPU Memory Size: 10 GB,Take a chance with Nick Chance!,1,1,1,Collectables,https://cpswoo.com/wp-content/uploads/2021/08/nick-sun.png,1
160,NVIDIA GEFORCE RTX 3080,Boost Clock Speed: 1.71 GHz GPU Memory Size: 10 GB,"The GeForce RTX3080 Ti and RTX 3080 graphics cards deliver the ultra performance that gamers crave, powered by AmpereNVIDIAs 2nd gen RTX architecture. They are built with enhanced RT Cores and Tensor Cores, new streaming multiprocessors, and superfast G6X memory for an amazing gaming experience.",1,1,1199,Components > Graphical Processing Unit,https://cpswoo.com/wp-content/uploads/2022/04/nvidia-geforce-rtx-3080.png,0
888,NVIDIA GEFORCE RTX 3080 Ti,Cooling System: Fan Boost Clock Speed: 1.67 GHz GPU Memory Size: 12 GB,"The GeForce RTX3080 Ti and RTX 3080 graphics cards deliver the ultra performance that gamers crave, powered by AmpereNVIDIAs 2nd gen RTX architecture. They are built with enhanced RT Cores and Tensor Cores, new streaming multiprocessors, and superfast G6X memory for an amazing gaming experience.",1,1,1199,Components > Graphical Processing Unit,https://cpswoo.com/wp-content/uploads/2022/04/nvidia-geforce-rtx-3080.png,0
1227,NVIDIA GEFORCE RTX 3090 Ti,Cooling System: Fan Boost Clock Speed: 1.86 GHz GPU Memory Size: 24 GB<,"The GeForce RTX3080 Ti and RTX 3080 graphics cards deliver the ultra performance that gamers crave, powered by AmpereNVIDIAs 2nd gen RTX architecture. They are built with enhanced RT Cores and Tensor Cores, new streaming multiprocessors, and superfast G6X memory for an amazing gaming experience.",1,1,1199,Components > Graphical Processing Unit,https://cpswoo.com/wp-content/uploads/2022/04/nvidia-geforce-rtx-3080.png,0
9991,AMD Ryzen Threadripper PRO 5995WX,"Incredible 4.4 GHz Max Boost Frequency, with a huge 40MB Cache; OS Support Windows 10 64 Bit Edition, RHEL x86 64 Bit, Ubuntu x86 64 Bit; Operating System (OS) support will vary by manufacturer",Intel Core i7 3.60 GHz processor offers more cache space and the hyper-threading architecture delivers high performance for demanding applications with better onboard graphics and faster turbo boost,1,1,899,Components > Computer Processing Unit,https://cpswoo.com/wp-content/uploads/2022/04/nvidia-geforce-rtx-3080.png,0
9992,Intel Core i7-12700K LGA1700 600 Series,Intel Core i7 3.60 GHz processor offers more cache space and the hyper-threading architecture delivers high performance for demanding applications with better onboard graphics and faster turbo boost,Intel Core i7 3.60 GHz processor offers more cache space and the hyper-threading architecture delivers high performance for demanding applications with better onboard graphics and faster turbo boost,1,1,570,Components > Computer Processing Unit,https://cpswoo.com/wp-content/uploads/2022/04/nvidia-geforce-rtx-3080.png,0
9993,Intel Core i5-12600K LGA1700 600 Series,Intel Core i5 Deca-core (10 Core) 3.70 GHz processor offers hyper-threading architecture that delivers high performance for demanding applications with improved onboard graphics and turbo boost,Intel Core i5 Deca-core (10 Core) 3.70 GHz processor offers hyper-threading architecture that delivers high performance for demanding applications with improved onboard graphics and turbo boost,1,1,343,Components > Computer Processing Unit,https://cpswoo.com/wp-content/uploads/2022/04/nvidia-geforce-rtx-3080.png,0
11882,Thermaltake Level 20 VT Tempered Glass,Clear view - four 4mm thick Tempered Glass panels protect the chassis while providing easy access to the components Extreme Liquid Cooling system- Dual loop Liquid Cooling system ,Clear view - four 4mm thick Tempered Glass panels protect the chassis while providing easy access to the components Extreme Liquid Cooling system- Dual loop Liquid Cooling system ,1,1,119,Components > Cases,https://cpswoo.com/wp-content/uploads/2022/04/ThermaltakeLevel20VTmperedGlass.jpg,0
119112,Thermaltake Level 20 HT Black Edition 4 Tempered Glass,Clear view - four 4mm thick Tempered Glass panels protect the chassis while providing easy access to the components Extreme Liquid Cooling system- Dual loop Liquid Cooling system ,Clear view - four 4mm thick Tempered Glass panels protect the chassis while providing easy access to the components Extreme Liquid Cooling system- Dual loop Liquid Cooling system ,1,1,230,Components > Cases,https://cpswoo.com/wp-content/uploads/2022/04/Thermaltakelevel20temprd.jpg,0
